,Melbourne,,Monte Carlo,,Barcelona,,Spielberg,,Silverstone,,Spa-Francorchamps,,Budapest,,Monza,,Madrid,,,
,06 - 08 Mar,,04 - 07 Jun,,12 - 14 Jun,,26 - 28 Jun,,03 - 05 Jul,,17 - 19 Jul,,24 - 26 Jul,,04 - 06 Sep,,11 - 13 Sep,,,
,,,,,,,,,,,,,,,,,,,,
Team,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,FR,Points
Campos Racing,0,27,6,42,3,48,12,18,19,17,8,25,-,-,-,-,-,-,-,225
TRIDENT,2,18,6,17,9,4,6,41,17,30,1,18,-,-,-,-,-,-,-,169
Van Amersfoort Racing,9,21,9,8,15,37,4,6,0,4,0,18,-,-,-,-,-,-,-,131
ART Grand Prix,1,25,5,0,0,3,4,9,5,33,6,19,-,-,-,-,-,-,-,110
Rodin Motorsport,3,4,8,29,1,12,10,12,0,2,17,0,-,-,-,-,-,-,-,98
MP Motorsport,0,1,7,6,7,0,5,6,0,0,13,20,-,-,-,-,-,-,-,65
Hitech,0,2,4,0,0,0,8,10,2,0,11,4,-,-,-,-,-,-,-,41
PREMA Racing,0,0,1,0,13,0,7,0,4,12,0,0,-,-,-,-,-,-,-,37
DAMS Lucas Oil,0,0,10,2,8,0,0,2,0,0,0,0,-,-,-,-,-,-,-,22
AIX Racing,0,6,0,0,0,0,0,0,9,6,0,0,-,-,-,-,-,-,-,21
