,Melbourne,,Monte Carlo,,Barcelona,,Spielberg,,Silverstone,,Spa-Francorchamps,,Budapest,,Monza,,Madrid,,,
,06 - 08 Mar,,04 - 07 Jun,,12 - 14 Jun,,26 - 28 Jun,,03 - 05 Jul,,17 - 19 Jul,,24 - 26 Jul,,04 - 06 Sep,,11 - 13 Sep,,,
Driver,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,FR,Points
1F. Slater,0,18,0,16,9,4,0,15,4,20,0,17,1,26,9,2,-,-,-,141
2U. Ugochukwu,0,25,6,12,0,15,2,18,11,15,0,0,0,18,0,4,-,-,-,126
3E. Rivera,0,0,0,10,0,6,10,0,0,2,3,25,8,8,4,0,-,-,-,76
4T. Naël,0,2,0,20,3,27,0,0,8,0,5,0,10,0,0,0,-,-,-,75
5B. Badoer,3,0,0,25,1,12,0,0,0,0,9,0,6,15,0,0,-,-,-,71
6T. Kato,1,15,0,0,0,2,4,8,0,0,6,9,0,0,11,15,-,-,-,71
7H. Yamakoshi,0,0,0,0,4,19,3,6,0,4,0,18,0,1,8,8,-,-,-,71
8N. Stromsted,2,0,6,1,0,0,6,26,6,10,1,1,0,0,0,6,-,-,-,65
9T. Taponen,0,0,0,0,7,0,5,6,0,0,4,6,6,12,0,18,-,-,-,64
10M. Gladysz,0,10,3,0,0,1,0,0,5,25,0,10,0,0,0,0,-,-,-,54
11B. Del Pino,5,13,9,8,5,8,1,0,0,0,0,0,0,0,1,0,-,-,-,50
12P. Clerot,0,4,8,4,0,0,10,12,0,2,8,0,0,0,0,0,-,-,-,48
13M. Colnaghi,0,1,0,0,0,0,0,0,0,0,7,12,7,12,5,0,-,-,-,44
14J. Nakamura,0,2,4,0,0,0,8,10,0,0,11,4,0,0,0,0,-,-,-,39
15Y. David,0,0,0,0,0,0,0,0,9,6,0,0,0,0,7,12,-,-,-,34
16E. Deligny,4,8,0,0,6,10,0,0,0,0,0,0,0,0,3,3,-,-,-,34
17N. Lacorte,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,25,-,-,-,33
18K. Le,0,0,2,0,0,0,0,1,0,8,0,0,9,0,0,10,-,-,-,30
19J. Wharton,0,0,0,0,11,0,7,0,1,0,0,0,3,6,0,1,-,-,-,29
20A. Giusti,0,0,7,6,0,0,0,0,0,0,2,2,0,0,6,0,-,-,-,23
21L. Sharp,0,0,0,0,2,0,0,0,3,12,0,0,0,4,0,0,-,-,-,21
22G. Xie,0,0,10,2,8,0,0,0,0,0,0,0,0,0,0,0,-,-,-,20
23M. De Palo,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,-,-,-,7
24B. Benavides,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,6
25C. Ho,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-,-,-,2
26F. Mclaughlin,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-,-,-,2
27F. Barrichello,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-,-,-,2
28J. Garfias,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,1
29N. Bhirombhakdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
30A. Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
31R. Escotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
32P. Heuzenroeder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
33W. Shin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
34S. Hanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
