,Melbourne,,Miami Gardens,,Montréal,,Monte Carlo,,Barcelona,,Spielberg,,Silverstone,,Spa-Francorchamps,,Budapest,,Monza,,Madrid,,Baku,,Lusail,,Yas Marina,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,SR,FR,Points
N. Tsolov,0,25,10,0,0,0,1,26,6,12,1,25,10,25,5,15,0,6,4,6,-,-,-,-,-,-,-,-,177
R. Câmara,0,18,0,16,2,0,1,2,3,27,1,12,0,12,3,28,5,15,0,21,-,-,-,-,-,-,-,-,166
G. Mini,3,4,2,25,8,15,6,0,8,15,4,18,8,8,0,10,11,2,0,0,-,-,-,-,-,-,-,-,147
A. Dunne,6,0,6,0,0,18,0,18,1,18,5,8,0,12,4,12,0,0,2,8,-,-,-,-,-,-,-,-,118
N. Leon,8,0,1,12,11,1,10,2,5,4,0,8,0,7,0,0,0,25,5,15,-,-,-,-,-,-,-,-,114
K. Maini,0,0,0,12,0,2,2,12,11,2,2,0,5,15,0,0,4,21,0,0,-,-,-,-,-,-,-,-,88
D. Beganovic,0,2,1,18,3,0,4,15,2,8,0,0,4,0,6,0,8,8,0,0,-,-,-,-,-,-,-,-,79
J. Dürksen,10,1,4,1,0,0,5,0,0,0,0,2,1,2,10,0,2,4,11,25,-,-,-,-,-,-,-,-,78
L. van Hoepen,2,16,8,0,5,2,0,0,0,10,0,4,0,0,0,0,6,12,1,0,-,-,-,-,-,-,-,-,66
T. Inthraphuvasak,5,8,0,0,0,0,0,0,0,0,0,10,4,1,0,18,3,10,0,4,-,-,-,-,-,-,-,-,63
M. Stenshorne,1,0,3,0,6,25,3,10,0,0,0,0,0,0,9,1,1,0,3,0,-,-,-,-,-,-,-,-,62
R. Miyata,4,10,0,8,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,10,-,-,-,-,-,-,-,-,44
J. Bennett,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,1,8,12,-,-,-,-,-,-,-,-,38
R. Villagomez,0,0,0,0,0,0,0,0,0,0,6,0,6,18,0,8,0,0,0,0,-,-,-,-,-,-,-,-,38
O. Goethe,0,12,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,6,2,-,-,-,-,-,-,-,-,37
S. Montoya,0,2,0,2,0,12,0,4,0,0,8,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,28
C. Herta,0,6,0,4,0,6,0,0,4,0,0,0,0,0,0,6,0,0,0,0,-,-,-,-,-,-,-,-,26
R. Bilinski,1,0,0,0,1,0,8,1,0,1,3,1,2,4,2,0,0,0,0,0,-,-,-,-,-,-,-,-,24
N. Varrone,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,15
M. Boya,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,12
E. Fittipaldi,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,10
C. Shields,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,10
